tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
2012-04-17,KMZECG4,VOLKSWAGEN,GOLF,2011,199827,5242,754
2010-04-02,MLSF655,VOLVO,S90,2002,30233,4608,1802
2010-10-04,O22OQLV,VOLKSWAGEN,POLO,2002,184155,5243,751
2012-01-05,Q4VX2MI,VOLKSWAGEN,SCIROCCO,2012,141370,6482,1053
2012-04-09,ZKJCXO2,VOLKSWAGEN,PHOETON,2004,125215,2635,1571
2016-05-05,ARDM0DN,FORD,FOCUS,2005,60019,6659,307
2016-05-01,3SLGP73,VOLKSWAGEN,PHOETON,2000,100582,1360,1424
2019-02-25,AJJRERU,FORD,MONDEO,2014,91203,1341,395
2013-11-06,GANH1VI,FORD,KA,2001,20370,4451,1087
2012-02-16,VXBJ86F,VOLVO,S60,2006,184678,8326,1848
2017-11-13,IL63WVL,VOLKSWAGEN,PASSAT,2015,36385,7427,925
2012-05-10,SVV6TBJ,FIAT,LINEA,2001,124688,6365,1310
2016-03-10,FH8BC6A,VOLVO,S90,2010,49704,796,785
2019-03-13,RLJXWOG,FORD,MONDEO,2017,32127,2717,1231
2013-12-20,U98LQNX,MERCEDES,E250,2010,83756,9757,435
2018-01-06,JE5ATEG,VOLKSWAGEN,JETTA,2011,75965,4306,1346
2019-12-30,FBP1NFX,VOLKSWAGEN,JETTA,2017,73527,2616,566
2010-06-17,0WSDUXZ,VOLKSWAGEN,SCIROCCO,2010,97408,616,767
2019-06-28,ET11P9D,FORD,FOCUS,2013,34781,1449,842
2010-10-13,W8NJJN4,FORD,FOCUS,2007,142879,1420,562
2019-09-02,IVRHOCQ,VOLVO,S60,2017,96575,7349,1417
2016-02-03,X8OYGDJ,VOLVO,S60,2008,135732,8380,1858
2019-10-26,ULO7C8Y,FORD,FOCUS,2005,28240,3815,1455
2015-09-07,4L6PFK9,VOLKSWAGEN,PHOETON,2005,144198,6491,1169
2014-06-20,B5TDRN0,VOLVO,S60,2006,46586,7508,1585
2012-07-23,OWPT08C,FIAT,LINEA,2001,22200,3321,278
2017-01-29,D1LCRNZ,FIAT,LINEA,2016,145042,2640,1425
2020-05-10,89TSM9X,FIAT,ALBEA,2009,138746,1014,1349
2014-04-20,BSOACAN,FORD,KUGA,2012,62760,7027,1254
2019-12-15,AJHZW1K,FORD,KA,2018,139715,3047,584
2013-07-16,RLTQ88J,MERCEDES,E250,2007,101085,8935,996
2010-08-07,V79EYE8,VOLKSWAGEN,PASSAT,2007,55963,7475,1609
2016-07-21,QUU8RNX,VOLKSWAGEN,PHOETON,2003,146984,6813,809
2014-09-21,AR9G1HJ,VOLKSWAGEN,POLO,2008,143681,3325,1564
2013-06-19,911BV66,FIAT,SPIDER,2007,114056,2285,1338
2012-07-23,0PEY01M,FORD,FIESTA,2009,55399,8677,809
2015-05-05,G1TF9BT,FIAT,SPIDER,2006,19042,1191,818
2012-12-20,PPIEZ5A,VOLKSWAGEN,SCIROCCO,2004,151247,9919,1184
2014-05-10,8OJ563P,MERCEDES,E200,2002,123253,1615,1289
2011-06-24,D8NMU8J,FIAT,MAREA,2004,164526,2063,1671
2012-12-31,ELLKGT4,FORD,KUGA,2011,53397,5706,1663
2017-09-02,ENM01MD,MERCEDES,E250,2004,60265,5466,878
2016-05-22,7NN9M5A,FIAT,SPIDER,2006,41701,6559,1762
2014-01-12,QVMRRVU,VOLVO,S90,2008,117551,2903,760
2010-01-02,T360MF6,MERCEDES,A180,2000,57032,9504,1610
2014-02-22,OVMF6DZ,VOLKSWAGEN,GOLF,2000,100363,5771,1684
2015-09-12,LWLBOES,VOLVO,V60,2006,70124,4369,1439
2017-04-29,W674URG,FORD,KA,2008,24022,8890,1703
2012-01-28,IR4QQCP,FORD,MONDEO,2001,179616,3607,1729
2017-10-31,PQ6SXSE,FORD,FIESTA,2013,198942,9353,1452
2017-09-25,SZ8B6TU,MERCEDES,C180,2011,23866,5360,1131
2014-12-21,T0UV3SZ,FIAT,EGEA,2008,23876,8080,377
2011-08-27,ULD3F3D,MERCEDES,E200,2000,85232,7211,587
2018-07-04,EGZ5NLD,VOLVO,V40,2014,97560,3214,582
2015-11-15,EVDKPCZ,FIAT,FIORINO,2009,196321,4213,733
2017-04-08,5VM7L1C,FIAT,FIORINO,2015,165030,4309,966
2014-07-05,F0VMGR5,FIAT,SPIDER,2013,132442,8633,992
2014-06-24,12IQ4X8,VOLVO,V60,2010,197765,7060,1323
2012-12-31,TGRNR1N,FIAT,DOBLO,2001,123193,8187,1602
2012-09-16,PO99CC8,MERCEDES,S600,2008,100879,5858,1790
2016-11-25,HJ9C3OW,VOLKSWAGEN,JETTA,2009,166430,2813,1855
2018-09-11,664QDC9,VOLKSWAGEN,PHOETON,2016,72236,3121,699
2016-03-16,YS19XCQ,FIAT,FIORINO,2012,72993,1983,498
2014-07-19,AAL554E,FIAT,FIORINO,2011,82928,930,1487
2013-06-09,CJHEC27,FORD,KUGA,2001,52444,5523,584
2010-04-07,G97XQPQ,VOLKSWAGEN,SCIROCCO,2003,170478,3645,1631
2019-09-12,DI2PSM0,FORD,FOCUS,2014,30278,5894,433
2015-07-12,TO9972W,VOLKSWAGEN,GOLF,2001,164297,7394,744
2019-09-18,WWBDJFJ,FORD,FIESTA,2015,88428,2874,1517
2015-09-19,J5WA64M,VOLKSWAGEN,GOLF,2008,179519,1587,1899
2017-01-18,ZNM3HPG,VOLVO,S40,2005,130483,2901,567
2012-07-06,CE0RTD4,VOLVO,S60,2004,114209,457,381
2012-01-31,9FEY86A,MERCEDES,E250,2010,185781,1484,934
2010-08-30,D8GQ5S8,VOLKSWAGEN,SCIROCCO,2003,28456,7302,591
2019-11-27,LLDQ1CZ,VOLKSWAGEN,PHOETON,2012,196544,617,657
2017-07-09,IRE7OVY,FIAT,MAREA,2004,149759,4374,251
2015-11-03,ODJIOU3,VOLKSWAGEN,PHOETON,2012,2885,2558,1254
2017-12-07,WX1HQK4,MERCEDES,E200,2002,142260,3354,308
2015-04-24,UB5261N,VOLVO,S60,2015,96131,9280,1014
2012-05-20,Q3PC086,MERCEDES,E200,2009,28022,4553,1823
2016-09-27,M9CIGWN,FORD,MONDEO,2005,154939,7744,1383
2010-05-25,05XGBUZ,VOLKSWAGEN,GOLF,2008,93101,89,550
2014-09-21,24E5A85,MERCEDES,A180,2011,113772,1068,1457
2015-11-05,VKNL4F3,FORD,MONDEO,2004,135130,708,1833
2017-12-09,591IFUG,FORD,FIESTA,2000,49819,4637,1537
2019-05-25,I24JYJ1,VOLKSWAGEN,PHOETON,2014,34564,3914,1092
2010-01-15,JFN0AKY,VOLKSWAGEN,SCIROCCO,2000,116190,4956,460
2019-12-08,8YZYPL4,FIAT,ALBEA,2003,49391,3558,373
2019-12-21,IGK1OVJ,VOLKSWAGEN,POLO,2001,33760,6633,1036
2019-05-11,EVDRNT3,VOLVO,V60,2019,42767,4824,357
2016-03-31,D05ICH5,MERCEDES,C180,2006,146832,4301,595
2018-01-24,RGM8DPA,VOLVO,S60,2018,189527,6424,1172
2018-08-15,V5L6R55,FIAT,ALBEA,2018,107314,1748,1147
2017-11-25,SRXXBP2,FORD,KA,2011,27144,6403,755
2011-06-18,B8HDILV,VOLVO,XC90,2008,17038,2114,861
2014-07-14,LE2UMS2,FIAT,FIORINO,2002,137924,992,1617
2019-02-27,NIR2DXG,MERCEDES,E200,2011,159316,3757,435
2016-04-06,2YX62CT,FIAT,MAREA,2003,14907,2322,1720
2013-08-26,1HY8K5D,FORD,MONDEO,2008,21982,1660,1449
2017-05-28,XASPBVF,FORD,KUGA,2013,151374,9210,441
2018-10-13,WBV5E1A,VOLKSWAGEN,PHOETON,2009,104251,6218,602
2010-11-17,K2QVM2Y,FIAT,EGEA,2002,190330,8241,612
2016-12-08,T8PLK3A,FIAT,FIORINO,2001,122281,9221,1258
2017-03-30,I6YG4WF,MERCEDES,S600,2010,119030,255,1381
2015-02-05,VYU8C1B,FORD,KUGA,2006,110187,432,1723
2011-02-24,65HNHYY,VOLKSWAGEN,JETTA,2005,79755,5550,1362
2019-06-22,OH4BUC2,FIAT,EGEA,2018,136440,2236,1466
2020-02-01,MD1TGRD,VOLVO,XC90,2006,157710,3093,1696
2014-12-02,8TB7PL1,FORD,MONDEO,2004,153714,6656,1746
2011-12-17,I9PG6CJ,FORD,ESCORT,2002,162817,1341,813
2016-10-24,I8ZWIQE,FIAT,FIORINO,2003,53273,1168,1898
2013-02-11,015E24C,VOLKSWAGEN,JETTA,2003,115314,3365,1172
2010-01-23,7W6KH45,FORD,MONDEO,2002,156725,207,637
2012-11-15,C6PJPND,FIAT,FIORINO,2010,62837,9717,1908
2012-06-02,S80NDDX,VOLVO,S60,2008,27779,2025,1722
2018-02-03,ESDHUYK,FIAT,SPIDER,2010,18131,7838,1348
2012-09-07,X6XZ8S4,VOLKSWAGEN,PASSAT,2001,191627,9497,697
2018-12-23,LM0QDFO,FORD,MONDEO,2004,122925,9122,1231
2016-12-01,RU4QZ7D,VOLKSWAGEN,PASSAT,2004,43816,2672,1130
2013-12-19,J41J38K,VOLKSWAGEN,JETTA,2009,59969,7838,705
2017-03-29,9CGSUQG,MERCEDES,C180,2017,115909,2676,1054
2016-01-04,5CGJS9A,FORD,FIESTA,2008,73008,8143,1940
2018-12-30,J16YPB0,VOLKSWAGEN,GOLF,2005,55731,7933,512
2019-09-15,QZ82Q16,VOLKSWAGEN,SCIROCCO,2013,153532,4041,1791
2016-02-14,BH0WVV3,FIAT,EGEA,2011,152047,2561,1823
2013-01-22,O70SQSK,FIAT,LINEA,2001,156848,7945,1631
2016-03-06,FPJF617,MERCEDES,A180,2013,20644,6372,1426
2013-10-10,YT27R8S,FORD,FIESTA,2006,174471,6336,599
2013-03-15,1CS1ET0,FORD,ESCORT,2012,39655,6060,1136
2010-05-08,T969QRZ,VOLVO,S90,2000,110576,5561,681
2015-10-05,MR782LY,MERCEDES,E200,2004,59614,5371,704
2015-03-05,9BA99OI,VOLVO,V40,2010,168691,2755,1815
2013-02-02,37WLAOO,VOLKSWAGEN,GOLF,2010,26514,1668,929
2017-06-08,X5W9OZ8,MERCEDES,S600,2016,104452,2548,866
2016-01-11,1YVS6LC,VOLKSWAGEN,POLO,2008,58245,6087,1718
2019-04-14,3WBXRHU,VOLVO,S90,2001,20120,6735,1894
2012-05-02,D96X8A5,VOLKSWAGEN,SCIROCCO,2009,83297,3203,1306
2016-06-12,A138NMQ,FORD,KA,2002,101050,6583,1707
2015-07-26,I2HCJEA,FORD,FIESTA,2002,156856,8470,1520
2012-06-17,DO8RWSP,FORD,ESCORT,2011,173182,6797,1537
2013-05-15,3FCKY85,VOLVO,V60,2008,105356,5255,1878
2015-09-09,69QZ9CI,FORD,ESCORT,2012,85283,9052,1338
2013-02-07,4H7OZG3,MERCEDES,C180,2003,106658,7550,653
2014-06-12,5KT7U87,FIAT,DOBLO,2013,14870,4558,1327
2018-07-03,CU1F3O0,FORD,KA,2014,177375,8915,1576
2019-01-01,OT6RDEU,MERCEDES,S600,2016,84730,8355,1246
2013-09-10,NRT0DUS,VOLKSWAGEN,GOLF,2013,171530,6311,505
2017-05-16,G9GXV0F,VOLKSWAGEN,PASSAT,2010,29710,8499,853
2011-02-14,IY761YV,MERCEDES,S350,2010,166499,4434,1411
2017-01-28,LODG9W7,FIAT,EGEA,2015,111285,3988,443
2019-08-10,8QA9EYF,VOLVO,S40,2018,156592,3345,333
2015-05-20,9HJEF8U,VOLVO,S60,2012,76651,7015,888
2017-09-27,2HQ7UT6,FIAT,LINEA,2004,85697,2192,404
2013-11-01,S94MNR3,FORD,KA,2009,156072,1387,874
2011-08-19,QXERS6J,FORD,KA,2005,59732,6707,908
2010-06-20,TY8W0XW,FIAT,FIORINO,2003,29099,8388,1483
2013-04-19,LTA0MS9,FORD,FIESTA,2009,39417,1942,504
2015-07-17,65GVKS3,FORD,ESCORT,2012,143992,1512,453
2015-10-23,FU2BF5P,MERCEDES,E200,2005,195429,7920,655
2020-03-11,17HOA3L,VOLVO,S90,2006,127010,2924,360
2018-10-03,U70C9FX,FORD,ESCORT,2018,124242,1825,1684
2010-07-17,DH9SH32,VOLVO,V60,2003,99995,6810,1190
2012-05-11,4OSSSE5,VOLKSWAGEN,PHOETON,2006,149827,5082,431
2017-05-04,ZGH60H4,MERCEDES,S350,2016,197209,6239,555
2012-01-04,LY2IKBA,FIAT,LINEA,2007,7252,4175,277
2019-09-22,UFRXJQA,VOLKSWAGEN,GOLF,2002,70049,809,396
2016-02-23,EJRH6YW,FORD,FIESTA,2016,47620,302,1529
2019-03-09,R8PX1G7,FIAT,LINEA,2000,72610,7788,995
2018-08-28,J05T39B,VOLVO,S40,2004,51372,9845,498
2014-07-30,9OH75L2,FIAT,MAREA,2009,131835,4160,1823
2019-03-11,X0LY4WD,FIAT,LINEA,2010,62776,1645,1833
2016-05-27,95Z66EY,VOLVO,V40,2000,65303,9876,1381
2011-05-27,XU4ZCMB,VOLKSWAGEN,PASSAT,2001,183136,9288,1247
2014-01-18,JNZVAUL,MERCEDES,S350,2013,179446,3837,1848
2018-11-18,QVZBMXH,VOLVO,S40,2016,79793,8092,1513
2019-02-25,R3PQQH7,FIAT,DOBLO,2007,74543,6292,1559
2016-10-03,A765Q56,MERCEDES,E200,2007,40115,6555,1443
2016-12-26,UAD7UGR,VOLVO,V40,2016,46913,1059,1663
2010-10-29,ZWAGJ43,VOLKSWAGEN,GOLF,2003,135302,3702,284
2017-07-05,1HDNVG4,VOLVO,XC90,2001,70285,8110,985
2019-05-08,5IQ2AQE,MERCEDES,S350,2012,40713,8755,1473
2017-07-25,KLVJGLR,MERCEDES,E250,2006,132607,2196,1943
2012-09-19,TTN7ZR0,MERCEDES,A180,2000,116281,2955,1547
2011-06-14,PPQW6DW,FIAT,MAREA,2000,136996,9951,662
2014-08-30,CRF6GTH,VOLVO,V60,2001,112962,1875,1017
2019-02-27,WQ0GJMV,VOLVO,XC90,2016,83560,9914,1021
2016-04-04,R4TUYMJ,VOLVO,V40,2000,11460,6270,1694
2013-10-14,INOPPL1,VOLKSWAGEN,PHOETON,2012,119086,7840,381
2020-04-22,1MV6X7X,FIAT,MAREA,2017,177061,5735,1905
2010-02-07,8GIV3X9,FIAT,LINEA,2001,8091,4044,1660
2016-10-24,BEMPSXN,MERCEDES,C180,2009,6193,2444,1818
2018-10-26,DMXU9F4,VOLVO,S60,2009,101538,2203,1500
2017-05-24,DEDTYY7,FORD,KUGA,2017,199023,5317,1116
2015-04-21,OC5SPLT,VOLKSWAGEN,PASSAT,2004,167494,5331,1081
2019-06-21,KM5YC5P,VOLKSWAGEN,PASSAT,2000,176240,9592,1526
2012-09-16,CNWGOMD,FIAT,ALBEA,2003,82605,899,1372
2016-04-19,1IS9Q3I,VOLKSWAGEN,JETTA,2004,58740,7533,669
2012-08-26,PSR51R5,FORD,KA,2001,21766,7873,1946
2011-09-08,CBR7I20,VOLVO,S60,2005,138923,5094,349
2010-11-08,HZIFZ9Y,FIAT,EGEA,2009,47937,633,1233
2012-05-19,O7P47QY,MERCEDES,S600,2011,31839,9500,1850
2012-07-23,B5E1O9E,VOLVO,V40,2010,154539,6756,1629
2017-01-11,E1LDI2A,VOLKSWAGEN,SCIROCCO,2008,187960,7046,455
2013-12-09,P5ROFSK,VOLKSWAGEN,SCIROCCO,2013,12524,9682,1299
2018-12-26,KU5PXU8,FIAT,SPIDER,2014,187142,8173,430
2019-02-17,DGTTIBB,FIAT,ALBEA,2001,88099,6033,689
2016-09-15,VVIRZZ8,FIAT,FIORINO,2002,15140,4486,804
2019-12-17,9FX8K6R,FORD,FIESTA,2013,8040,6971,824
2019-04-30,DLDBM8B,VOLKSWAGEN,PHOETON,2000,155601,7061,998
2010-04-07,QVULZTC,VOLVO,S40,2008,176008,9844,1447
2018-01-17,P0S0EDI,FIAT,DOBLO,2014,36347,990,934
2011-12-14,0PQLIZ9,VOLKSWAGEN,SCIROCCO,2007,147974,8588,1058
2017-02-11,94NJHVK,FORD,FOCUS,2001,112791,9389,1005
2012-04-06,46J4OXQ,FORD,FOCUS,2007,35699,261,1405
2010-01-14,TYH6372,VOLKSWAGEN,POLO,2009,149386,4918,1332
2018-06-15,LFJ7H5B,VOLKSWAGEN,JETTA,2007,2287,9296,1183
2010-07-09,ZLFHVCI,FIAT,EGEA,2000,96473,7580,894
2020-01-28,BMECOKG,FIAT,FIORINO,2010,48538,8335,325
2018-12-14,LS468TB,VOLKSWAGEN,JETTA,2017,3395,922,1764
2010-03-04,2BTSDJ7,FIAT,DOBLO,2007,160218,356,1210
2018-12-07,091W8WA,MERCEDES,S350,2002,140605,9473,607
2017-05-13,XG9JS25,VOLVO,V60,2012,137819,6955,1304
2015-11-29,CH4URIG,FORD,ESCORT,2000,70969,6025,1156
2018-08-28,IMNT5GY,MERCEDES,C180,2003,43765,6450,334
2011-10-14,IBUXY53,FIAT,EGEA,2000,36486,9041,1975
2014-08-23,P0JGA4V,VOLVO,V60,2014,60875,5932,788
2019-03-12,7TR4CIT,VOLVO,S60,2017,168138,2216,290
2014-02-02,HGO6O6Q,VOLVO,XC90,2006,174815,4552,1333
2020-04-19,JPA064D,FORD,KUGA,2003,118386,5355,1102
2017-10-08,P4VLBLY,FIAT,MAREA,2012,133898,6782,900
2017-09-27,KUNQN29,VOLKSWAGEN,PHOETON,2004,96798,4674,1209
2016-04-26,0OHWQCI,FIAT,MAREA,2004,139117,8992,323
2016-04-07,4Z611KJ,MERCEDES,C180,2000,52410,1539,473
2013-05-16,WL1OKW6,VOLKSWAGEN,SCIROCCO,2008,121123,3064,1013
2015-05-15,INE1X14,VOLKSWAGEN,POLO,2010,28468,1594,1973
2018-08-26,DD97E2R,VOLVO,V40,2007,198251,7108,977
2019-09-13,4CRA9XH,VOLVO,S60,2012,114197,7284,1346
2012-04-23,R8B7754,FIAT,SPIDER,2004,11392,8534,437
2017-10-07,0T7V5G6,FORD,KA,2013,174640,6044,1437
2016-05-24,MGJQWDP,VOLKSWAGEN,PASSAT,2009,93623,5513,1709
2015-02-27,E4V3E7E,FIAT,SPIDER,2000,116515,6214,944
2012-12-03,Z9YJ0TW,FIAT,ALBEA,2000,85653,8375,1600
2012-02-12,X8WR9W0,FIAT,EGEA,2005,131739,4939,660
2011-07-06,5R1R9M5,VOLVO,XC90,2005,176491,654,500
2011-01-25,19CQA82,FIAT,DOBLO,2011,110857,4572,730
2010-05-23,3ICL8U0,VOLVO,S90,2002,130773,5058,1031
2010-07-24,70NK54H,FORD,FIESTA,2009,148411,4204,1380
2014-02-24,2AWKF2H,MERCEDES,C180,2000,101739,9314,1025
2010-09-12,W8NGFGU,VOLVO,S60,2000,148427,8168,1426
2013-11-19,0APHVUQ,FIAT,ALBEA,2010,41359,2919,253
2012-11-27,9WPDOQZ,VOLKSWAGEN,PHOETON,2006,92209,7953,1784
2012-01-15,PBOXQJ3,VOLKSWAGEN,GOLF,2009,198297,4247,1205
2016-10-20,Q827DSH,VOLVO,S60,2012,21672,2212,932
2015-12-27,V0NT81E,VOLVO,V60,2000,155978,8360,1428
2012-10-24,0MGFC1O,VOLVO,V40,2010,153128,4728,1685
2017-12-08,1UQ6RZZ,VOLVO,V60,2004,190312,4509,1700
2010-02-28,S3LYW3G,MERCEDES,E250,2006,88942,1319,1064
2019-03-21,JWGGWGR,VOLVO,V40,2012,14059,5225,1450
2011-11-20,D69C6AE,VOLKSWAGEN,PASSAT,2006,50390,3875,1777
2013-06-08,6YBH4Y0,MERCEDES,E200,2003,94547,461,578
2012-04-11,Y669IYG,VOLVO,S60,2002,188624,8585,511
2014-07-02,QCQK8IT,VOLKSWAGEN,GOLF,2011,105393,359,1104
2010-12-23,AOJ6DHU,FIAT,SPIDER,2005,9113,4077,472
2018-06-02,JRJ5VAZ,VOLKSWAGEN,JETTA,2007,15394,8424,1106
2017-10-01,660E9ZK,FIAT,MAREA,2013,84456,6639,921
2019-03-27,X8ECP2B,VOLVO,S60,2003,58195,632,655
2011-05-11,E7Q7XMB,FORD,FOCUS,2009,162050,2952,431
2012-07-20,5KS0HWD,MERCEDES,A180,2009,91091,3786,824
2015-05-09,3AHX4PF,FORD,FOCUS,2014,188369,9799,497
2017-01-26,LI27JEY,FIAT,FIORINO,2003,20099,3361,1514
2017-04-19,6RGCUJZ,VOLKSWAGEN,GOLF,2000,38474,1258,739
2017-02-11,NMQEDBK,VOLKSWAGEN,SCIROCCO,2015,168304,8345,1643
2018-12-31,U450128,FORD,KA,2009,11164,2302,929
2017-06-17,LUIPFII,VOLKSWAGEN,SCIROCCO,2005,160693,537,1969
2013-08-20,OVHYKD2,VOLKSWAGEN,GOLF,2004,141709,6719,1187
2016-10-22,HH4V60R,VOLKSWAGEN,PASSAT,2007,146601,5817,291
2016-07-14,11G7KQ7,VOLVO,S60,2013,43677,2471,1564
2012-09-04,XVWU0UU,MERCEDES,A180,2002,78389,6911,801
2011-09-21,S664T4Q,FIAT,MAREA,2005,96706,9815,860
2016-09-01,ZHBT82O,FORD,KUGA,2005,129669,3261,525
2016-01-15,RH1CZ00,MERCEDES,E200,2006,26958,3458,1423
2019-03-01,Z5R5QDZ,MERCEDES,S600,2014,9526,4863,285
2015-05-22,KPZ33O4,VOLVO,S40,2001,99994,706,1708
2011-05-13,T3W5W9Q,MERCEDES,E250,2001,25956,4515,991
2017-04-08,MMIXBPH,FORD,KA,2007,27082,6686,1345
2020-03-30,YKCPJMX,FIAT,SPIDER,2006,90209,7687,1271
2020-02-09,PTSBXTD,VOLVO,S60,2005,50321,6414,1834
2012-10-14,7UOJ3MJ,VOLVO,S90,2004,177640,1795,508
2016-05-17,NC97AK6,MERCEDES,A180,2005,145776,5663,801
2011-06-09,U5ZGP57,FIAT,DOBLO,2008,112740,9359,1518
2013-09-14,VUWL0LK,VOLVO,S90,2007,121043,8848,812
2019-11-10,3O80OV3,FIAT,DOBLO,2010,76129,9797,1440
2015-01-31,0ESNYYK,FORD,FIESTA,2000,94725,6349,1894
2019-08-22,V1GE3DM,VOLVO,V40,2007,135652,7600,522
2013-03-23,UVRL0D6,FIAT,EGEA,2009,11662,3534,1348
2011-11-02,XYR9N1V,MERCEDES,E200,2004,99421,5036,1602
2017-07-11,HQ5OH5W,FIAT,FIORINO,2006,185713,8473,427
2013-03-01,4WLC4SF,MERCEDES,E200,2012,90849,6940,306
2013-04-07,RK5AF0V,VOLKSWAGEN,GOLF,2001,103978,394,695
2016-11-16,E12CF0Y,MERCEDES,C180,2001,79247,7843,1989
2020-05-12,DD17W8X,VOLKSWAGEN,GOLF,2019,183417,3863,1266
2015-09-20,C1VZI86,VOLKSWAGEN,GOLF,2013,1505,6566,462
2013-12-04,M2KOQPD,FIAT,MAREA,2011,20852,8879,539
2018-06-17,743S9AQ,FORD,KUGA,2013,20959,3942,1686
2016-01-30,LH1BPAD,VOLVO,V60,2010,187129,4190,1548
2015-02-09,USWR83G,FORD,FIESTA,2003,90953,7991,1820
2019-11-17,RBXAJ1Q,FIAT,ALBEA,2016,82100,5735,507
2017-06-24,TOZL8X7,FIAT,EGEA,2003,21551,3211,1856
2018-09-26,P8OH36M,MERCEDES,C180,2015,104216,9002,1927
2011-05-22,64IZT8N,MERCEDES,E250,2009,90749,7912,1579
2014-10-16,2UG0S5D,MERCEDES,A180,2010,157414,5783,1285
2012-03-29,5MA386G,VOLVO,S60,2000,197341,9936,550
2010-12-21,RGH94LC,FORD,MONDEO,2007,149222,5335,1707
2020-05-23,RVDAXDF,VOLVO,V60,2017,8674,2084,734
2014-02-07,N5N2628,FORD,FIESTA,2005,151969,5839,1106
2010-02-17,B7QEW20,VOLVO,S40,2001,50081,9872,312
2014-07-28,4PZM3Z3,FIAT,DOBLO,2003,176345,2146,893
2016-06-12,NVQ4OU8,VOLVO,XC90,2013,115470,8602,1023
2015-06-20,UO6OGOB,FORD,FIESTA,2000,10273,3553,1937
2010-10-23,1WPU8RC,FIAT,EGEA,2005,18518,7160,1777
2019-06-01,AZQ0FBS,VOLVO,V40,2014,197667,1355,1738
2015-09-04,I2VQ1U2,MERCEDES,S600,2004,194321,793,1178
2015-05-13,RPJ4TBM,FIAT,SPIDER,2010,187271,8061,1440
2017-02-01,MY0RFDG,FORD,MONDEO,2004,98071,1267,1685
